日付け,終値
2013.7.22,1216.53
2013.7.23,1222.72
2013.7.24,1219.92
2013.7.25,1202.32
2013.7.26,1167.06
2013.7.29,1128.45
2013.7.30,1148.53
2013.7.31,1131.70
2013.8.1,1163.39
2013.8.2,1196.17
2013.8.5,1184.74
2013.8.6,1193.66
2013.8.7,1155.26
2013.8.8,1139.59
2013.8.9,1140.91
2013.8.12,1134.62
2013.8.13,1157.15
2013.8.14,1171.34
2013.8.15,1151.82
2013.8.16,1142.65
2013.8.19,1149.13
2013.8.20,1125.27
2013.8.21,1121.74
2013.8.22,1119.56
2013.8.23,1141.63
2013.8.26,1140.00
2013.8.27,1134.02
2013.8.28,1114.03
2013.8.29,1116.51
2013.8.30,1106.05
2013.9.2,1117.78
2013.9.3,1149.18
2013.9.4,1156.30
2013.9.5,1157.84
2013.9.6,1147.82
2013.9.9,1173.00
2013.9.10,1190.22
2013.9.11,1189.25
2013.9.12,1184.36
2013.9.13,1185.28
2013.9.17,1181.64
2013.9.18,1193.07
2013.9.19,1215.48
2013.9.20,1218.98
2013.9.24,1214.87
2013.9.25,1211.15
2013.9.26,1220.49
2013.9.27,1217.52
2013.9.30,1194.10
2013.10.1,1193.44
2013.10.2,1175.16
2013.10.3,1173.99
2013.10.4,1163.82
2013.10.7,1147.58
2013.10.8,1150.13
2013.10.9,1166.90
2013.10.10,1177.95
2013.10.11,1197.17
2013.10.15,1197.47
2013.10.16,1196.78
2013.10.17,1206.25
2013.10.18,1205.52
2013.10.21,1212.36
2013.10.22,1214.44
2013.10.23,1195.98
2013.10.24,1203.35
2013.10.25,1178.28
2013.10.28,1198.36
2013.10.29,1193.50
2013.10.30,1204.50
2013.10.31,1194.26
2013.11.1,1183.03
2013.11.5,1182.58
2013.11.6,1192.16
2013.11.7,1184.73
2013.11.8,1176.42
2013.11.11,1185.65
2013.11.12,1205.41
2013.11.13,1204.19
2013.11.14,1218.55
2013.11.15,1239.04
2013.11.18,1241.67
2013.11.19,1236.86
2013.11.20,1233.43
2013.11.21,1246.31
2013.11.22,1248.57
2013.11.25,1259.61
2013.11.26,1253.02
2013.11.27,1247.08
2013.11.28,1261.04
2013.11.29,1258.66
2013.12.2,1258.94
2013.12.3,1262.54
2013.12.4,1240.99
2013.12.5,1229.65
2013.12.6,1235.83
2013.12.9,1255.32
2013.12.10,1256.33
2013.12.11,1250.45
2013.12.12,1242.23
2013.12.13,1238.88
2013.12.16,1222.95
2013.12.17,1232.31
2013.12.18,1250.49
2013.12.19,1263.07
2013.12.20,1261.64
2013.12.24,1257.55
2013.12.25,1258.18
2013.12.26,1279.34
2013.12.27,1290.07
2013.12.30,1302.29
2014.1.6,1292.15
2014.1.7,1283.25
2014.1.8,1306.23
2014.1.9,1296.75
2014.1.10,1298.48
2014.1.14,1269.08
2014.1.15,1294.52
2014.1.16,1294.39
2014.1.17,1297.39
2014.1.20,1293.86
2014.1.21,1295.95
2014.1.22,1299.63
2014.1.23,1287.52
2014.1.24,1264.60
2014.1.27,1229.23
2014.1.28,1224.31
2014.1.29,1256.18
2014.1.30,1224.09
2014.1.31,1220.64
2014.2.3,1196.32
2014.2.4,1139.27
2014.2.5,1162.64
2014.2.6,1162.37
2014.2.7,1189.14
2014.2.10,1204.28
2014.2.12,1219.60
2014.2.13,1199.74
2014.2.14,1183.82
2014.2.17,1192.05
2014.2.18,1224.00
2014.2.19,1218.52
2014.2.20,1194.56
2014.2.21,1222.31
2014.2.24,1219.07
2014.2.25,1233.66
2014.2.26,1225.35
2014.2.27,1217.35
2014.2.28,1211.66
2014.3.3,1196.76
2014.3.4,1204.11
2014.3.5,1212.90
2014.3.6,1228.36
2014.3.7,1236.97
2014.3.10,1227.61
2014.3.11,1233.21
2014.3.12,1206.94
2014.3.13,1203.46
2014.3.14,1164.70
2014.3.17,1154.93
2014.3.18,1165.94
2014.3.19,1164.33
2014.3.20,1145.97
2014.3.24,1163.04
2014.3.25,1163.70
2014.3.26,1172.07
2014.3.27,1176.90
2014.3.28,1186.52
2014.3.31,1202.89
2014.4.1,1204.25
2014.4.2,1211.36
2014.4.3,1216.77
2014.4.4,1215.89
2014.4.7,1196.84
2014.4.8,1174.56
2014.4.9,1150.44
2014.4.10,1149.49
2014.4.11,1134.09
2014.4.14,1132.76
2014.4.15,1136.09
2014.4.16,1166.55
2014.4.17,1166.59
2014.4.18,1173.37
2014.4.21,1171.40
2014.4.22,1162.50
2014.4.23,1173.81
2014.4.24,1164.90
2014.4.25,1169.99
2014.4.28,1160.74
2014.4.30,1162.44
2014.5.1,1182.20
2014.5.2,1182.48
2014.5.7,1152.01
2014.5.8,1160.01
2014.5.9,1165.51
2014.5.12,1157.91
2014.5.13,1178.35
2014.5.14,1183.15
2014.5.15,1178.29
2014.5.16,1159.07
2014.5.19,1150.07
2014.5.20,1153.38
2014.5.21,1150.05
2014.5.22,1169.34
2014.5.23,1180.44
2014.5.26,1194.69
2014.5.27,1195.11
2014.5.28,1198.17
2014.5.29,1200.68
2014.5.30,1201.41
2014.6.2,1220.47
2014.6.3,1228.59
2014.6.4,1233.95
2014.6.5,1232.75
2014.6.6,1234.57
2014.6.9,1234.78
2014.6.10,1228.73
2014.6.11,1239.07
2014.6.12,1237.75
2014.6.13,1243.97
2014.6.16,1234.68
2014.6.17,1238.20
2014.6.18,1249.15
2014.6.19,1269.04
2014.6.20,1268.92
2014.6.23,1267.48
2014.6.24,1268.50
2014.6.25,1260.83
2014.6.26,1263.43
2014.6.27,1253.15
2014.6.30,1262.56
2014.7.1,1276.08
2014.7.2,1280.78
2014.7.3,1278.59
2014.7.4,1285.24
2014.7.7,1279.87
2014.7.8,1275.70
2014.7.9,1270.82
2014.7.10,1259.25
2014.7.11,1255.19
2014.7.14,1265.46
2014.7.15,1273.68
2014.7.16,1273.59
2014.7.17,1273.38
2014.7.18,1263.29
2014.7.22,1273.27
2014.7.23,1272.39
2014.7.24,1269.86
2014.7.25,1281.35
2014.7.28,1286.07
2014.7.29,1290.41
2014.7.30,1292.24
2014.7.31,1289.42
2014.8.1,1281.30
2014.8.4,1276.19
2014.8.5,1263.53
2014.8.6,1251.29
2014.8.7,1258.12
2014.8.8,1228.26
2014.8.11,1252.51
2014.8.12,1257.69
2014.8.13,1262.13
2014.8.14,1270.50
2014.8.15,1270.68
2014.8.18,1271.26
2014.8.19,1280.29
2014.8.20,1279.64
2014.8.21,1291.19
2014.8.22,1286.07
2014.8.25,1291.31
2014.8.26,1285.01
2014.8.27,1285.92
2014.8.28,1280.74
2014.8.29,1277.97
2014.9.1,1283.06
2014.9.2,1297.00
2014.9.3,1301.52
2014.9.4,1296.39
2014.9.5,1293.21
