日付け,終値
2013.7.22,25460
2013.7.23,26140
2013.7.24,26300
2013.7.25,26300
2013.7.26,26060
2013.7.29,25660
2013.7.30,25800
2013.7.31,25600
2013.8.1,25600
2013.8.2,25720
2013.8.5,25480
2013.8.6,25080
2013.8.7,24440
2013.8.8,24340
2013.8.9,24600
2013.8.12,24640
2013.8.13,25800
2013.8.14,26000
2013.8.16,25900
2013.8.19,25720
2013.8.20,25380
2013.8.21,25120
2013.8.22,25100
2013.8.23,25900
2013.8.26,26000
2013.8.27,26080
2013.8.28,26180
2013.8.29,26880
2013.8.30,27360
2013.9.2,27020
2013.9.3,26740
2013.9.4,26800
2013.9.5,27300
2013.9.6,27380
2013.9.9,27460
2013.9.10,27920
2013.9.11,28040
2013.9.12,28200
2013.9.13,28120
2013.9.16,28500
2013.9.17,27720
2013.9.23,27200
2013.9.24,27460
2013.9.25,27280
2013.9.26,27440
2013.9.27,27320
2013.9.30,27340
2013.10.1,27640
2013.10.2,28360
2013.10.4,28360
2013.10.7,28720
2013.10.8,28600
2013.10.10,28600
2013.10.11,28860
2013.10.14,28760
2013.10.15,29140
2013.10.16,29000
2013.10.17,29260
2013.10.18,29440
2013.10.21,29280
2013.10.22,29100
2013.10.23,28840
2013.10.24,28980
2013.10.25,28980
2013.10.28,29640
2013.10.29,29800
2013.10.30,30000
2013.10.31,29300
2013.11.1,30000
2013.11.4,29980
2013.11.5,29700
2013.11.6,29020
2013.11.7,28740
2013.11.8,28200
2013.11.11,28560
2013.11.12,29120
2013.11.13,28380
2013.11.14,28480
2013.11.15,29240
2013.11.18,29480
2013.11.19,29780
2013.11.20,29400
2013.11.21,28800
2013.11.22,29000
2013.11.25,29300
2013.11.26,29580
2013.11.27,29400
2013.11.28,29880
2013.11.29,29880
2013.12.2,29340
2013.12.3,29220
2013.12.4,28640
2013.12.5,28800
2013.12.6,28560
2013.12.9,29080
2013.12.10,28800
2013.12.11,28400
2013.12.12,28200
2013.12.13,27800
2013.12.16,28000
2013.12.17,27900
2013.12.18,28020
2013.12.19,28540
2013.12.20,28540
2013.12.23,28660
2013.12.24,28300
2013.12.26,28160
2013.12.27,27920
2013.12.30,27440
2014.1.2,26180
2014.1.3,25920
2014.1.6,26140
2014.1.7,26080
2014.1.8,25820
2014.1.9,25500
2014.1.10,25440
2014.1.13,25900
2014.1.14,26260
2014.1.15,25980
2014.1.16,26020
2014.1.17,25840
2014.1.20,26320
2014.1.21,26480
2014.1.22,26560
2014.1.23,25980
2014.1.24,26140
2014.1.27,25840
2014.1.28,25660
2014.1.29,25600
2014.2.3,25440
2014.2.4,24980
2014.2.5,24740
2014.2.6,25180
2014.2.7,25500
2014.2.10,25540
2014.2.11,26220
2014.2.12,26140
2014.2.13,25960
2014.2.14,26020
2014.2.17,25700
2014.2.18,25900
2014.2.19,25800
2014.2.20,25720
2014.2.21,26600
2014.2.24,26560
2014.2.25,26680
2014.2.26,26840
2014.2.27,26820
2014.2.28,26980
2014.3.3,26500
2014.3.4,26300
2014.3.5,26600
2014.3.6,26520
2014.3.7,26780
2014.3.10,26400
2014.3.11,26440
2014.3.12,25880
2014.3.13,25800
2014.3.14,25500
2014.3.17,25320
2014.3.18,25560
2014.3.19,25380
2014.3.20,25240
2014.3.21,25460
2014.3.24,25460
2014.3.25,24940
2014.3.26,25700
2014.3.27,26660
2014.3.28,26700
2014.3.31,26860
2014.4.1,26780
2014.4.2,27140
2014.4.3,27800
2014.4.4,27600
2014.4.7,27940
2014.4.8,27880
2014.4.9,27420
2014.4.10,27600
2014.4.11,27300
2014.4.14,27400
2014.4.15,27400
2014.4.16,27600
2014.4.17,27400
2014.4.18,27560
2014.4.21,27600
2014.4.22,27500
2014.4.23,27780
2014.4.24,28140
2014.4.25,27980
2014.4.28,27760
2014.4.29,27200
2014.4.30,26860
2014.5.2,26920
2014.5.7,26880
2014.5.8,27000
2014.5.9,26700
2014.5.12,27760
2014.5.13,28000
2014.5.14,28300
2014.5.15,28200
2014.5.16,28560
2014.5.19,28960
2014.5.20,29020
2014.5.21,28820
2014.5.22,28520
2014.5.23,28560
2014.5.26,28440
2014.5.27,28140
2014.5.28,28660
2014.5.29,29200
2014.5.30,28860
2014.6.2,29100
2014.6.3,29400
2014.6.5,29140
2014.6.9,28180
2014.6.10,28720
2014.6.11,28440
2014.6.12,28260
2014.6.13,27340
2014.6.16,27480
2014.6.17,27480
2014.6.18,27160
2014.6.19,26460
2014.6.20,26020
2014.6.23,26440
2014.6.24,26900
2014.6.25,26400
2014.6.26,26500
2014.6.27,26220
2014.6.30,26440
2014.7.1,26200
2014.7.2,26600
2014.7.3,26360
2014.7.4,26120
2014.7.7,25840
2014.7.8,25900
2014.7.9,26160
2014.7.10,26120
2014.7.11,25680
2014.7.14,25720
2014.7.15,26400
2014.7.16,26420
2014.7.17,26600
2014.7.18,26860
2014.7.21,27060
2014.7.22,26960
2014.7.23,26760
2014.7.24,27100
2014.7.25,27100
2014.7.28,27160
2014.7.29,27720
2014.7.30,27900
2014.7.31,26860
2014.8.1,25840
2014.8.4,26340
2014.8.5,26320
2014.8.6,26000
2014.8.7,25800
2014.8.8,25000
2014.8.11,25400
2014.8.12,25320
2014.8.13,25280
2014.8.14,25220
2014.8.18,25000
2014.8.19,25080
2014.8.20,25220
2014.8.21,24700
2014.8.22,24940
2014.8.25,24560
2014.8.26,24440
2014.8.27,24600
